qkey,input_prompt,output_token,output_dist,attribute,group,ordinal
c12c,"Question: 您的民族是？
A. 汉族
B. 少数民族

Answer: A. 汉族

Answer the following question keeping in mind your previous answers.
Question: 在过去的12个月中，您对谁提供了以下类型的帮助-帮忙料理家务/照顾家人
A. 住在一起的家人
B. 其他亲戚
C. 同事
D. 邻居
E. 朋友
F. 没有帮助任何人
G. 从未遇到过这种问题
Answer as a choice between A.,B.,C.,D.,E.,F.,G.

Answer:","[' A', ' A', ' G', ' A', ' G', ' D', ' C', ' A', ' G', ' A', ' E', ' F', ' A', ' G', ' A', ' A', ' E', ' B', ' G', ' A', ' G', ' A', ' G', ' A', ' A', ' A', ' B', ' A', ' G', ' G', ' G', ' B', ' G', ' B', ' A', ' A', ' G', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' A', ' G', ' F', ' A', ' G', ' G', ' A', ' G', ' A', ' G', ' B', ' A', ' G', ' G', ' G', ' A', ' G', ' A', ' B', ' G', ' G', ' A', ' A', ' A', ' A', ' A', ' D', ' A', ' F', ' A', ' B', ' D', ' B', ' F', ' G', ' A', ' B', ' A', ' A', ' A', ' A', ' E', ' A', ' G', ' D', ' A', ' B', ' D', ' A', ' B', ' E', ' D', ' A', ' B', ' F', ' D']","[0.45113732095964665, 0.09878054282557756, 0.0035149008622604744, 0.04146943357562879, 0.02494412616480822, 0.1164807309499998, 0.2636729446620784, 0.0]",民族,汉族,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
a16,"Question: 您目前的婚姻状况是？
A. 未婚或同居
B. 有配偶
C. 分居离异或丧偶

Answer: B. 有配偶

Answer the following question keeping in mind your previous answers.
Question: 在过去的四周中，由于健康问题影响到您的工作或其他日常活动的频繁程度是
A. 不知道
B. 总是
C. 经常
D. 有时
E. 很少
F. 从不
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' D', ' F', ' B', ' D', ' E', ' E', ' E', ' E', ' F', ' E', ' E', ' D', ' D', ' E', ' E', ' E', ' F', ' E', ' E', ' D', ' E', ' E', ' D', ' F', ' D', ' F', ' F', ' F', ' F', ' E', ' E', ' E', ' F', ' F', ' E', ' B', ' D', ' F', ' E', ' E', ' E', ' E', ' F', ' E', ' E', ' E', ' F', ' C', ' C', ' C', ' D', ' F', ' B', ' F', ' E', ' F', ' F', ' F', ' E', ' E', ' E', ' F', ' E', ' F', ' D', ' F', ' E', ' D', ' F', ' F', ' E', ' F', ' E', ' E', ' E', ' F', ' C', ' D', ' F', ' D', ' E', ' B', ' C', ' E', ' C', ' E', ' E', ' F', ' F', ' E', ' E', ' D', ' E', ' E', ' E', ' D', ' D', ' E', ' C', ' E']","[0.002638062226419546, 0.05437538999337519, 0.11088161712795021, 0.2369964730115969, 0.32630435566216126, 0.268804101978497, 0.0]",婚姻状况,有配偶,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
a54,"Question: 您的政治面貌是？
A. 群众
B. 共青团员
C. 中共党员或其它党派

Answer: C. 中共党员或其它党派

Answer the following question keeping in mind your previous answers.
Question: 您上一周没有工作的原因
A. 不知道
B. 在校学习
C. 丧失劳动能力
D. 毕业后未工作
E. 因单位原因失去原工作
F. 因个人原因失去原工作
G. 承包土地被征用
H. 离/退休
I. 料理家务
J. 其他
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.,I.,J.

Answer:","[' I', ' C', ' H', ' J', ' C', ' H', ' H', ' H', ' I', ' C', ' H', ' H', ' H', ' H', ' B', ' F', ' H', ' C', ' H', ' H', ' H', ' H', ' H', ' H', ' H', ' H', ' H', ' H', ' C', ' H', ' C', ' H', ' H', ' H', ' H', ' C', ' H', ' C', ' H', ' B', ' C', ' C', ' H', ' H', ' F', ' F', ' C', ' H', ' J', ' H', ' H', ' H', ' C', ' C', ' H', ' C', ' H', ' J', ' C', ' C', ' H', ' H', ' H', ' H', ' H', ' D', ' C', ' H', ' H', ' C', ' H', ' H', ' H', ' H', ' C', ' F', ' H', ' H', ' H', ' H', ' C', ' H', ' C', ' F', ' H', ' H', ' I', ' H', ' D', ' F', ' H', ' H', ' H', ' C', ' H', ' I', ' I', ' H', ' I', ' C']","[0.0, 0.03542981806639704, 0.13772710071697258, 0.012034363734003432, 0.005027393394157023, 0.04490421292229513, 0.0023786645656965217, 0.6822126738435642, 0.0555379196736009, 0.024747853083313058, 0.0]",政治面貌,中共党员或其它党派,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
c11c,"Question: 您常住地属于以下哪一类区域？
A. 中心城区
B. 城乡结合部
C. 镇
D. 农村

Answer: D. 农村

Answer the following question keeping in mind your previous answers.
Question: 在最近一次处理下列问题时，您最先向谁寻求帮助-家务琐事
A. 住在一起的家人
B. 其他亲戚
C. 同事
D. 邻居
E. 朋友
F. 专业人员或机构
G. 没有寻求任何人的帮助
H. 从未遇到过这种问题
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' A', ' A', ' G', ' G', ' A', ' A', ' E', ' H', ' B', ' A', ' A', ' A', ' B', ' A', ' A', ' G', ' B', ' B', ' H', ' A', ' A', ' H', ' A', ' A', ' E', ' A', ' B', ' H', ' H', ' A', ' A', ' A', ' H', ' A', ' A', ' A', ' A', ' A', ' H', ' B', ' G', ' G', ' A', ' F', ' H', ' D', ' A', ' B', ' H', ' A', ' A', ' A', ' A', ' G', ' A', ' G', ' A', ' A', ' A', ' G', ' A', ' A', ' B', ' A', ' H', ' D', ' B', ' A', ' G', ' A', ' H', ' D', ' A', ' A', ' A', ' H', ' A', ' H', ' G', ' A', ' A', ' E', ' H', ' A', ' D', ' H', ' A', ' G', ' A', ' A', ' G', ' A', ' A', ' A', ' G', ' G', ' H', ' D', ' A', ' A']","[0.5533661619153378, 0.05781034894144973, 0.0017476832077847864, 0.04860811722774897, 0.02057151364085957, 0.0034410457814541234, 0.17861542242933337, 0.1358397068560317, 0.0]",居住地类型,农村,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
a89g,"Question: 您目前的婚姻状况是？
A. 未婚或同居
B. 有配偶
C. 分居离异或丧偶

Answer: B. 有配偶

Answer the following question keeping in mind your previous answers.
Question: 您14岁时父亲工作的单位或公司的类型
A. 不知道
B. 党政机关
C. 企业
D. 事业单位
E. 社会团体、居/村委会
F. 无单位/自雇（包括个体户）
G. 军队
H. 其他
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' F', ' F', ' F', ' F', ' F', ' D', ' F', ' F', ' E', ' A', ' F', ' C', ' F', ' D', ' F', ' F', ' F', ' F', ' E', ' F', ' F', ' F', ' F', ' F', ' C', ' F', ' F', ' E', ' D', ' F', ' F', ' C', ' E', ' F', ' C', ' F', ' F', ' C', ' C', ' F', ' B', ' F', ' F', ' F', ' F', ' F', ' F', ' D', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' E', ' F', ' F', ' F', ' F', ' C', ' E', ' F', ' F', ' F', ' C', ' E', ' F', ' F', ' C', ' F', ' F', ' F', ' G', ' F', ' D', ' F', ' F', ' E', ' C', ' F', ' F', ' C', ' F', ' F', ' C', ' F', ' F', ' F', ' C', ' F', ' F', ' F', ' C', ' F', ' F', ' F', ' F', ' F']","[0.018976767872425037, 0.026194890868660257, 0.10778803013931776, 0.05951354687503624, 0.052680949328882294, 0.7262374911406221, 0.007370856438591537, 0.00123746733646476, 0.0011534548823786]",婚姻状况,有配偶,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
c5,"Question: 您认为自己目前的身体健康状况如何？
A. 不健康
B. 一般
C. 健康

Answer: A. 不健康

Answer the following question keeping in mind your previous answers.
Question: 除了家人或亲戚以外，您一天里与多少个人有联系
A. 0人
B. 1-2人
C. 3-4人
D. 5-9人
E. 10-19人
F. 20-49人
G. 50-99人
H. 100人或以上
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' A', ' C', ' A', ' E', ' C', ' C', ' D', ' A', ' B', ' C', ' D', ' A', ' A', ' B', ' C', ' A', ' B', ' A', ' D', ' A', ' A', ' A', ' A', ' E', ' A', ' A', ' A', ' A', ' A', ' D', ' D', ' C', ' A', ' A', ' A', ' A', ' C', ' C', ' B', ' B', ' A', ' B', ' E', ' A', ' A', ' A', ' F', ' A', ' C', ' B', ' C', ' E', ' B', ' B', ' B', ' A', ' C', ' A', ' D', ' C', ' B', ' E', ' A', ' A', ' A', ' E', ' A', ' C', ' F', ' A', ' C', ' A', ' F', ' A', ' A', ' D', ' A', ' C', ' A', ' B', ' A', ' A', ' A', ' B', ' A', ' C', ' D', ' A', ' A', ' A', ' D', ' E', ' C', ' B', ' A', ' C', ' C', ' D', ' A', ' B']","[0.33739326968960226, 0.20254253059241506, 0.17872238363293474, 0.12835518823236278, 0.12040114042963047, 0.02760078565090907, 0.0021542141413632082, 0.0028304876307824276, 0.0]",自评健康状况,不健康,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
c11d,"Question: 您常住地属于以下哪一类区域？
A. 中心城区
B. 城乡结合部
C. 镇
D. 农村

Answer: C. 镇

Answer the following question keeping in mind your previous answers.
Question: 在最近一次处理下列问题时，您最先向谁寻求帮助-照顾家人（如小孩/长辈）
A. 住在一起的家人
B. 其他亲戚
C. 同事
D. 邻居
E. 朋友
F. 专业人员或机构
G. 没有寻求任何人的帮助
H. 从未遇到过这种问题
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' A', ' A', ' A', ' A', ' H', ' A', ' A', ' G', ' A', ' A', ' H', ' A', ' B', ' G', ' E', ' B', ' A', ' G', ' A', ' A', ' H', ' B', ' A', ' H', ' A', ' A', ' A', ' A', ' A', ' G', ' B', ' B', ' G', ' A', ' G', ' A', ' A', ' G', ' B', ' B', ' B', ' B', ' A', ' B', ' H', ' B', ' H', ' G', ' A', ' A', ' D', ' A', ' A', ' A', ' G', ' H', ' B', ' G', ' G', ' A', ' G', ' G', ' A', ' A', ' A', ' G', ' A', ' A', ' A', ' A', ' H', ' H', ' G', ' A', ' A', ' G', ' A', ' A', ' A', ' H', ' A', ' A', ' A', ' A', ' A', ' D', ' G', ' A', ' B', ' D', ' A', ' A', ' A', ' G', ' B', ' A', ' G', ' H', ' E', ' B']","[0.5314834844848743, 0.10187980446856215, 0.002623423892700975, 0.03253428706459878, 0.017551963693274653, 0.0070230602390741435, 0.1649745527960931, 0.141929423360822, 0.0]",居住地类型,镇,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
a77,"Question: 您的政治面貌是？
A. 群众
B. 共青团员
C. 中共党员或其它党派

Answer: A. 群众

Answer the following question keeping in mind your previous answers.
Question: 您配偶或同居伴侣上一周没有工作的原因
A. 不知道
B. 在校学习
C. 丧失劳动能力
D. 毕业后未工作
E. 因单位原因失去原工作
F. 因个人原因失去原工作
G. 承包土地被征用
H. 离/退休
I. 料理家务
J. 其他
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.,I.,J.

Answer:","[' H', ' C', ' C', ' F', ' I', ' I', ' I', ' C', ' I', ' C', ' C', ' I', ' C', ' H', ' I', ' I', ' I', ' C', ' H', ' H', ' F', ' H', ' I', ' I', ' H', ' I', ' C', ' H', ' I', ' C', ' I', ' C', ' I', ' I', ' H', ' I', ' F', ' H', ' I', ' H', ' I', ' I', ' I', ' C', ' H', ' I', ' I', ' I', ' F', ' H', ' F', ' E', ' I', ' C', ' H', ' H', ' H', ' I', ' F', ' F', ' H', ' H', ' I', ' H', ' H', ' C', ' F', ' C', ' C', ' H', ' H', ' C', ' F', ' H', ' J', ' C', ' C', ' I', ' H', ' H', ' F', ' C', ' C', ' H', ' I', ' I', ' C', ' I', ' I', ' C', ' I', ' F', ' F', ' K', ' H', ' J', ' I', ' C', ' I', ' H']","[0.0021764410475557353, 0.0, 0.2654418698175165, 0.004910227503660336, 0.013579558673337747, 0.06203489128187237, 0.004446856135587207, 0.28905901853408716, 0.30868682929311203, 0.04966430771327094, 0.0019823854975742]",政治面貌,群众,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
a82,"Question: 您的政治面貌是？
A. 群众
B. 共青团员
C. 中共党员或其它党派

Answer: C. 中共党员或其它党派

Answer the following question keeping in mind your previous answers.
Question: 下列各种情形，哪一种更符合您配偶或同居伴侣目前的工作状况
A. 不知道
B. 自己是老板（或者是合伙人）
C. 个体工商户
D. 受雇于他人（有固定雇主）
E. 劳务工/劳务派遣人员
F. 零工、散工（无固定雇主的受雇者）
G. 在自己家的生意/企业中工作/帮忙，领工资
H. 在自己家的生意/企业中工作/帮忙，不领工资
I. 自由职业者
J. 其他
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.,I.,J.

Answer:","[' D', ' D', ' E', ' D', ' F', ' D', ' D', ' D', ' B', ' F', ' H', ' I', ' D', ' D', ' D', ' E', ' D', ' F', ' E', ' E', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' D', ' H', ' D', ' D', ' D', ' D', ' D', ' D', ' E', ' D', ' D', ' D', ' D', ' D', ' D', ' C', ' D', ' D', ' E', ' D', ' D', ' D', ' F', ' B', ' K', ' F', ' D', ' B', ' C', ' C', ' D', ' D', ' D', ' C', ' D', ' D', ' E', ' D', ' D', ' D', ' D', ' D', ' C', ' C', ' D', ' A', ' D', ' D', ' D', ' D', ' D', ' E', ' D', ' E', ' C', ' D', ' C', ' H', ' F', ' C', ' D', ' D', ' F', ' C', ' D', ' D', ' D', ' D', ' D']","[0.0056454937593574585, 0.027756422910012367, 0.10767750267568743, 0.6917421179913072, 0.06752418792590957, 0.0642047647379603, 0.004356755252748579, 0.010274539198176632, 0.02081821554884052, 0.0, 0.0026179753342626]",政治面貌,中共党员或其它党派,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]"
c11c,"Question: 您认为自己目前的身体健康状况如何？
A. 不健康
B. 一般
C. 健康

Answer: B. 一般

Answer the following question keeping in mind your previous answers.
Question: 在最近一次处理下列问题时，您最先向谁寻求帮助-家务琐事
A. 住在一起的家人
B. 其他亲戚
C. 同事
D. 邻居
E. 朋友
F. 专业人员或机构
G. 没有寻求任何人的帮助
H. 从未遇到过这种问题
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' G', ' G', ' E', ' G', ' A', ' A', ' A', ' A', ' A', ' B', ' G', ' A', ' G', ' A', ' A', ' A', ' G', ' E', ' G', ' G', ' A', ' A', ' G', ' H', ' D', ' A', ' G', ' B', ' G', ' A', ' A', ' A', ' A', ' G', ' G', ' A', ' G', ' A', ' A', ' A', ' A', ' H', ' G', ' H', ' A', ' A', ' A', ' A', ' A', ' H', ' A', ' A', ' H', ' A', ' A', ' A', ' A', ' A', ' A', ' G', ' A', ' B', ' G', ' G', ' G', ' G', ' A', ' A', ' A', ' A', ' A', ' H', ' A', ' H', ' H', ' G', ' H', ' A', ' A', ' G', ' H', ' G', ' E', ' A', ' A', ' A', ' A', ' A', ' A', ' H', ' B', ' A', ' H', ' A', ' A', ' H', ' A', ' H', ' G', ' A']","[0.5222728962201417, 0.05553237393626204, 0.0037049523856791363, 0.02785260165884231, 0.03313184691758851, 0.004783399773959153, 0.1934507843358666, 0.15927114477166066, 0.0]",自评健康状况,一般,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
c12b,"Question: 您目前完成的最高教育程度是？
A. 初中及以下
B. 高中（含中专/技校）
C. 大专及以上

Answer: C. 大专及以上

Answer the following question keeping in mind your previous answers.
Question: 在过去的12个月中，您对谁提供了以下类型的帮助-提供财务支持
A. 住在一起的家人
B. 其他亲戚
C. 同事
D. 邻居
E. 朋友
F. 没有帮助任何人
G. 从未遇到过这种问题
Answer as a choice between A.,B.,C.,D.,E.,F.,G.

Answer:","[' A', ' F', ' E', ' G', ' F', ' G', ' G', ' E', ' A', ' G', ' F', ' G', ' A', ' G', ' A', ' E', ' G', ' G', ' G', ' E', ' B', ' E', ' D', ' E', ' B', ' F', ' A', ' G', ' E', ' A', ' A', ' E', ' B', ' E', ' F', ' A', ' B', ' A', ' G', ' F', ' F', ' E', ' E', ' A', ' G', ' G', ' B', ' G', ' F', ' G', ' E', ' F', ' G', ' B', ' C', ' A', ' G', ' G', ' B', ' A', ' E', ' A', ' G', ' E', ' A', ' B', ' E', ' B', ' A', ' A', ' A', ' G', ' G', ' E', ' G', ' G', ' E', ' A', ' E', ' G', ' E', ' G', ' F', ' G', ' B', ' F', ' E', ' G', ' E', ' E', ' A', ' E', ' B', ' C', ' A', ' G', ' A', ' A', ' G', ' E']","[0.22556126260108592, 0.11174076815250887, 0.01859813527386823, 0.003358137864824271, 0.2288468111787325, 0.13686426391589296, 0.27503062101308723, 0.0]",受教育程度,大专及以上,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
c3,"Question: 您常住地属于以下哪一类区域？
A. 中心城区
B. 城乡结合部
C. 镇
D. 农村

Answer: A. 中心城区

Answer the following question keeping in mind your previous answers.
Question: 您一天里与多少个不住在一起的家人或亲戚有联系
A. 0人
B. 1-2人
C. 3-4人
D. 5-9人
E. 10-19人
F. 20-49人
G. 50-99人
H. 100人或以上
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' B', ' B', ' A', ' B', ' B', ' C', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' C', ' D', ' A', ' B', ' C', ' A', ' D', ' B', ' B', ' A', ' B', ' C', ' C', ' C', ' C', ' B', ' B', ' A', ' B', ' B', ' B', ' D', ' C', ' A', ' C', ' B', ' D', ' B', ' C', ' G', ' B', ' B', ' A', ' B', ' B', ' C', ' B', ' B', ' A', ' A', ' B', ' B', ' B', ' F', ' C', ' H', ' B', ' D', ' C', ' B', ' C', ' B', ' B', ' B', ' C', ' B', ' D', ' C', ' B', ' E', ' E', ' B', ' E', ' B', ' B', ' C', ' B', ' A', ' B', ' C', ' B', ' B', ' A', ' B', ' B', ' B', ' B', ' B', ' B', ' C', ' B', ' C', ' B', ' B', ' C', ' B', ' B']","[0.12917448900730322, 0.4795973526180336, 0.2871643648977657, 0.06840002784259028, 0.02578684375743269, 0.005531330888645223, 0.0034687690074747535, 0.0008768219807545462, 0.0]",居住地类型,中心城区,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
a74,"Question: 您目前完成的最高教育程度是？
A. 初中及以下
B. 高中（含中专/技校）
C. 大专及以上

Answer: C. 大专及以上

Answer the following question keeping in mind your previous answers.
Question: 您配偶或同居伴侣目前的户口登记状况
A. 不知道
B. 农业户口
C. 非农业户口
D. 居民户口（以前是农业户口）
E. 居民户口（以前是非农业户口）
F. 军籍
G. 没有户口
H. 其他
Answer as a choice between A.,B.,C.,D.,E.,F.,G.,H.

Answer:","[' E', ' D', ' C', ' D', ' C', ' E', ' B', ' C', ' C', ' C', ' B', ' E', ' C', ' D', ' E', ' B', ' C', ' B', ' A', ' C', ' B', ' C', ' C', ' C', ' C', ' B', ' E', ' B', ' C', ' B', ' C', ' C', ' C', ' C', ' B', ' C', ' B', ' C', ' D', ' B', ' E', ' E', ' B', ' C', ' C', ' E', ' D', ' E', ' B', ' E', ' C', ' C', ' C', ' E', ' E', ' D', ' D', ' A', ' E', ' E', ' D', ' C', ' E', ' C', ' E', ' C', ' D', ' C', ' B', ' C', ' C', ' B', ' C', ' D', ' E', ' E', ' B', ' B', ' C', ' D', ' B', ' B', ' C', ' D', ' C', ' D', ' C', ' C', ' D', ' B', ' B', ' C', ' D', ' E', ' E', ' E', ' C', ' A', ' B', ' B']","[0.008630551586039713, 0.2805807385644951, 0.3613402948460304, 0.12858141149744134, 0.21784402720037466, 0.0, 0.0, 0.003022976305618845, 0.000875270679114]",受教育程度,大专及以上,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]"
a3002,"Question: 您的性别是？
A. 男
B. 女

Answer: B. 女

Answer the following question keeping in mind your previous answers.
Question: 过去一年，您是否常在空闲时间从事以下活动-出去看电影
A. 不知道
B. 每天
C. 一周数次
D. 一月数次
E. 一年数次或更少
F. 从不
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' E', ' E', ' E', ' F', ' D', ' F', ' F', ' F', ' E', ' F', ' F', ' E', ' F', ' F', ' F', ' E', ' E', ' F', ' F', ' F', ' E', ' F', ' F', ' E', ' E', ' D', ' D', ' F', ' F', ' E', ' D', ' F', ' F', ' F', ' F', ' F', ' E', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' E', ' F', ' F', ' F', ' F', ' F', ' F', ' E', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' F', ' E', ' D', ' F', ' F', ' F', ' E', ' E', ' E', ' E', ' F', ' E', ' F', ' F', ' E', ' E', ' E', ' E', ' F', ' F', ' E', ' E', ' F', ' F', ' F', ' D', ' F', ' F', ' F', ' E', ' F', ' E', ' E', ' C', ' F', ' E', ' E', ' E']","[0.001559836770503642, 0.0016344729180868085, 0.010115339223134793, 0.0876455038074505, 0.33276173954958604, 0.5662831077312382, 0.0002352360151394]",性别,女,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
a425,"Question: 您目前完成的最高教育程度是？
A. 初中及以下
B. 高中（含中专/技校）
C. 大专及以上

Answer: B. 高中（含中专/技校）

Answer the following question keeping in mind your previous answers.
Question: 您是否同意-夫妻应该均等分摊家务
A. 不知道
B. 完全不同意
C. 比较不同意
D. 无所谓同意不同意
E. 比较同意
F. 完全同意
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' F', ' E', ' C', ' C', ' F', ' C', ' F', ' E', ' F', ' F', ' D', ' E', ' E', ' F', ' D', ' E', ' E', ' E', ' C', ' E', ' C', ' F', ' F', ' E', ' D', ' E', ' F', ' D', ' E', ' E', ' E', ' F', ' F', ' F', ' F', ' E', ' E', ' C', ' F', ' E', ' B', ' F', ' E', ' E', ' E', ' F', ' E', ' F', ' F', ' F', ' E', ' E', ' E', ' F', ' F', ' B', ' D', ' F', ' E', ' F', ' F', ' F', ' F', ' D', ' E', ' F', ' C', ' E', ' E', ' F', ' E', ' C', ' F', ' F', ' D', ' D', ' D', ' E', ' F', ' F', ' E', ' F', ' F', ' E', ' E', ' F', ' F', ' E', ' C', ' D', ' F', ' C', ' E', ' F', ' E', ' F', ' E', ' E', ' E', ' C']","[0.0009927421005699478, 0.04232573592722341, 0.06988451798324598, 0.10512799309189723, 0.33743732755093275, 0.4442316833461307, 0.0004217291717098]",受教育程度,高中（含中专/技校）,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
a283,"Question: 您认为自己目前的身体健康状况如何？
A. 不健康
B. 一般
C. 健康

Answer: B. 一般

Answer the following question keeping in mind your previous answers.
Question: 过去一年，您对以下媒体的使用情况是-广播
A. 不知道
B. 从不
C. 很少
D. 有时
E. 经常
F. 非常频繁
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' D', ' C', ' D', ' B', ' B', ' B', ' D', ' D', ' C', ' B', ' B', ' C', ' B', ' D', ' B', ' E', ' B', ' B', ' C', ' B', ' E', ' B', ' D', ' D', ' C', ' B', ' B', ' B', ' B', ' D', ' B', ' C', ' B', ' D', ' C', ' B', ' D', ' C', ' B', ' C', ' C', ' B', ' B', ' D', ' B', ' B', ' B', ' D', ' C', ' C', ' C', ' D', ' B', ' C', ' B', ' C', ' B', ' D', ' B', ' B', ' B', ' C', ' B', ' D', ' B', ' D', ' B', ' B', ' C', ' C', ' D', ' C', ' D', ' B', ' B', ' C', ' B', ' B', ' B', ' C', ' E', ' C', ' B', ' B', ' B', ' B', ' E', ' B', ' B', ' B', ' B', ' B', ' B', ' B', ' D', ' F', ' B', ' C', ' C', ' E']","[0.0, 0.48278986682128977, 0.22155734236127975, 0.18364612038883668, 0.07504325897216714, 0.03696341145642677, 0.0]",自评健康状况,一般,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
a3002,"Question: 您常住地属于以下哪一类区域？
A. 中心城区
B. 城乡结合部
C. 镇
D. 农村

Answer: C. 镇

Answer the following question keeping in mind your previous answers.
Question: 过去一年，您是否常在空闲时间从事以下活动-出去看电影
A. 不知道
B. 每天
C. 一周数次
D. 一月数次
E. 一年数次或更少
F. 从不
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' E', ' F', ' F', ' E', ' E', ' F', ' E', ' F', ' F', ' E', ' E', ' F', ' F', ' F', ' E', ' E', ' D', ' D', ' E', ' E', ' E', ' E', ' F', ' D', ' F', ' F', ' E', ' E', ' F', ' F', ' E', ' F', ' E', ' F', ' F', ' F', ' F', ' E', ' F', ' F', ' F', ' E', ' E', ' F', ' F', ' E', ' F', ' F', ' F', ' E', ' F', ' D', ' E', ' F', ' F', ' F', ' F', ' E', ' E', ' E', ' E', ' F', ' D', ' F', ' F', ' F', ' F', ' D', ' F', ' F', ' E', ' F', ' E', ' F', ' F', ' E', ' F', ' E', ' F', ' E', ' F', ' F', ' E', ' E', ' E', ' F', ' E', ' E', ' D', ' E', ' D', ' E', ' D', ' F', ' E', ' E', ' F', ' F', ' E', ' F']","[0.0, 0.0, 0.01643966810300901, 0.0944940020538071, 0.3646211426426227, 0.5244451872005612, 0.0]",居住地类型,镇,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
a3003,"Question: 您的民族是？
A. 汉族
B. 少数民族

Answer: A. 汉族

Answer the following question keeping in mind your previous answers.
Question: 过去一年，您是否常在空闲时间从事以下活动-逛街购物
A. 不知道
B. 每天
C. 一周数次
D. 一月数次
E. 一年数次或更少
F. 从不
Answer as a choice between A.,B.,C.,D.,E.,F.

Answer:","[' D', ' B', ' E', ' F', ' C', ' D', ' C', ' E', ' C', ' C', ' C', ' E', ' D', ' F', ' E', ' C', ' D', ' E', ' D', ' C', ' E', ' E', ' F', ' F', ' D', ' C', ' B', ' C', ' C', ' E', ' F', ' D', ' F', ' F', ' C', ' F', ' F', ' C', ' C', ' C', ' E', ' E', ' B', ' E', ' B', ' E', ' E', ' E', ' D', ' D', ' D', ' E', ' D', ' D', ' C', ' E', ' C', ' D', ' D', ' E', ' D', ' F', ' E', ' D', ' D', ' E', ' E', ' D', ' F', ' D', ' D', ' C', ' D', ' D', ' E', ' D', ' D', ' C', ' D', ' D', ' D', ' C', ' E', ' E', ' D', ' E', ' E', ' B', ' E', ' E', ' E', ' C', ' C', ' C', ' E', ' D', ' B', ' D', ' C', ' B']","[0.001596224282723041, 0.05554068648369084, 0.15379602832595904, 0.3067964609627731, 0.2870714357844189, 0.19519916416043517, 9.522522632065724e-05]",民族,汉族,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0]"
